id,plan,name,state,interconnect,base_demand,base_hydro,base_solar,base_wind,change_table,start_date,end_date,interval,engine,runtime,infeasibilities
87,base,WesternBase_2016_noHVDC_Final_2019Sep,analyze,Western,v4,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,3:51,34:5_35:5
88,base,TexasBase_2016_Final_2019Sep,analyze,Texas,ercot,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,0:32,
89,base,WACA_Anchor_AllMatchCA_2030_1,analyze,Western,v4,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,14:10,26:10_28:5_29:15_30:10_32:5_33:5_34:15_35:15_36:5_37:5_38:10_40:5_58:5
90,base,WACA_Anchor_AllMatchCA_2030_SpurUpgrade_1,analyze,Western,v4,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,15:4,26:10_28:5_29:15_30:10_32:5_33:5_34:15_35:15_36:5_37:5_38:10_40:5_58:5
91,base,WACA_Anchor_IndependentGoals_2030_1,analyze,Western,v4,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,14:45,0:5_26:10_28:10_29:15_30:10_31:5_32:5_33:15_34:15_35:15_36:5_37:10_38:15_40:5_56:5_58:5
92,base,WACA_Anchor_IndependentGoals_2030_SpurUpgrade_1,analyze,Western,v4,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,15:14,0:5_26:10_28:10_29:15_30:10_31:5_32:5_33:10_34:15_35:15_36:5_37:10_38:15_40:5_56:5_58:5
93,base,WACA_Anchor_IntegratedGoals_2030_1,analyze,Western,v4,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,14:18,0:5_26:10_28:5_29:15_30:10_32:5_33:10_34:15_35:15_36:5_37:5_38:10_40:5_58:5
94,base,WACA_Anchor_IntegratedGoals_2030_SpurUpgrade_1,analyze,Western,v4,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,14:45,0:5_26:10_28:5_29:15_30:10_32:5_33:10_34:15_35:15_36:5_37:5_38:10_40:5_58:5
95,base,WACA_Anchor_IntegratedGoals_2030_OB_1,analyze,Western,v4,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,5:51,26:10_28:5_29:15_30:10_32:5_33:10_34:15_35:15_36:5_37:5_38:10_40:5_58:5
96,base,WACA_Anchor_IntegratedGoals_2030_SpurUpgrade_OB_1,analyze,Western,v4,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,5:46,0:5_26:10_28:5_29:15_30:10_32:5_33:10_34:15_35:15_36:5_37:5_38:10_40:5_58:5
97,test,TexasWestern_2016,analyze,Texas_Western,v4,v2,v2,v2,Yes,2016-08-01 00:00:00,2016-08-30 23:00:00,144H,REISE,0:13,
98,base,WACA_Anchor_IntegratedGoals_2030_OB_2,analyze,Western,v4,v2,v2,v2,Yes,2016-01-01 00:00:00,2016-12-31 23:00:00,144H,REISE,10:50,26:10_28:5_29:15_30:10_32:5_33:10_34:15_35:15_36:5_37:5_38:10_40:5_58:5
