,cost,optimize,setup,solve
0,82546903.47428614,9.704004049301147,5.735717,21.902164
1,87823460.1157214,12.44649600982666,6.360579,23.702038
2,75882832.27727044,13.085637092590332,6.237798,28.019172
3,77896590.58128387,10.4482901096344,6.288251,21.701604
4,72867617.43316936,10.129167795181274,6.275242,21.8894
5,69972804.33419085,13.55120587348938,6.27893,24.77056
6,74548038.2600592,11.749494075775146,6.64202,23.113879
7,65493556.74635904,11.2688889503479,6.266625,22.924522
8,60080429.796353616,9.972970008850098,6.237438,21.248659
9,67234786.21747772,13.025126934051514,6.58842,24.466121
10,55173223.64162136,12.759916067123413,6.602426,24.142659
11,69472399.58199589,10.095030069351196,6.853075,21.80299
12,65016639.56455447,11.678782939910889,6.277425,23.376915
13,57057914.00880805,12.643234968185425,6.83083,24.095457
14,55755843.99456828,12.982403039932251,6.64182,24.530411
15,65495226.227197096,13.112420082092285,7.386387,24.71258
16,60860984.88072327,11.397488117218018,6.374773,22.917144
17,70207580.10941033,12.305728197097778,6.521795,23.616881
18,82624016.75659473,10.736198902130127,8.379211,22.866215
19,74787924.0534792,12.490949869155884,6.695421,23.727424
20,80454830.92274487,10.915788888931274,6.369945,22.202517
21,69935902.9186354,14.313318014144897,7.050799,27.885189
22,80809814.50337929,10.741607904434204,6.472924,22.090096
23,79722102.64384273,12.708154201507568,6.547832,24.143878
24,89249536.27442268,10.047648191452026,6.728479,21.70697
25,94514939.24380735,12.500852823257446,6.105731,23.688242
26,101632112.99780893,11.070811986923218,6.691064,22.434186
27,109891144.12948555,13.243590116500854,6.18473,24.730165
28,118286146.6093558,11.333654880523682,6.510624,23.122154
29,116333925.19414026,12.885324001312256,6.593852,24.558699
30,120928653.58999792,11.064278841018677,6.343662,22.754912
31,117339588.34603229,12.660255908966064,6.802769,25.093352
32,118424753.7323778,10.896901845932007,6.450739,22.31295
33,107858982.74731588,12.893138885498047,7.014306,28.316957
34,120150397.03043659,11.962826013565063,6.662091,23.911095
35,124386419.24335723,13.632071018218994,6.953343,25.534438
36,136837579.84982654,13.383354187011719,6.429399,24.821266
37,131322716.1957846,14.78931999206543,6.996689,26.504019
38,106883295.24548545,11.821381092071533,6.684937,23.308452
39,118053503.70116569,12.471941947937012,6.375389,23.733206
40,121500356.93193236,11.547057151794434,6.369908,23.478431
41,103428600.70103356,14.128637075424194,6.299854,25.782387
42,110120197.00125937,13.828877925872803,6.23596,25.31582
43,124830367.71340409,13.041787147521973,6.449253,24.179265
44,104815066.86642581,12.495810985565186,6.385883,24.238515
45,90211223.95560512,11.713093996047974,6.569252,22.908917
46,91374353.64393464,11.781473875045776,6.269015,23.827384
47,88617336.52296865,12.039492845535278,6.455583,23.642499
48,89989783.52338627,11.710269927978516,6.510278,23.442909
49,73585430.4287618,12.231474876403809,6.721328,23.576912
50,80137070.73709145,12.819182872772217,6.373643,24.746332
51,87063496.54423316,12.556605100631714,6.562173,24.750706
52,75852680.4467009,13.629106044769287,7.015563,25.039544
53,67434499.06974132,11.754266023635864,6.377475,23.345328
54,63584085.83728581,13.512854814529419,6.551522,25.093584
55,65733537.71867101,13.635807037353516,6.289743,25.252431
56,82010190.37697333,12.23071002960205,6.689646,24.058485
57,83918416.46639563,11.138724088668823,6.635493,22.111296
58,90476942.70840394,12.316251993179321,6.747913,24.301279
59,79031340.7870134,13.696871995925903,6.315586,25.333019
60,73987480.69046758,12.919809818267822,7.263445,24.328385
